feature_set,split_strategy,model,feature,mean_rmse_increase,std_rmse_increase,model_native_importance,direction_pearson_with_prediction,direction_pearson_with_target,direction_note,test_mean,train_median,importance_share_basis,importance_share_basis_value,importance_share,rank
B_lms_oulad,student_group,gradient_boosting,assessment_submission_rate_due_to_date,13.521475372660795,0.09109282271117781,0.8280036152747273,0.9320832269997212,0.8851756749011692,higher values generally align with higher predicted final_grade,0.6167963030366131,0.8571428571428571,positive_permutation_rmse_increase,13.521475372660795,0.3749357721618643,1
B_lms_oulad,student_group,gradient_boosting,cumulative_submitted_weight_to_date,12.662145056535492,0.07781193186644704,0.04016776832313802,0.7544981938013487,0.7189232046094188,higher values generally align with higher predicted final_grade,36.05645000993838,24.0,positive_permutation_rmse_increase,12.662145056535492,0.3511074792619648,2
B_lms_oulad,student_group,gradient_boosting,cumulative_assessment_weighted_score_to_date,3.9223510163482387,0.051501137760286864,0.07813337376407416,0.31085738766077453,0.2855840504191028,higher values generally align with higher predicted final_grade,71.25877143989649,72.225,positive_permutation_rmse_increase,3.9223510163482387,0.10876251788158271,3
B_lms_oulad,student_group,gradient_boosting,is_unregistered_by_week,2.4080793586281013,0.0882768187456763,0.002012594296711509,-0.7013378961302044,-0.6664847332756267,higher values generally align with lower predicted final_grade,0.25193798449612403,0.0,positive_permutation_rmse_increase,2.4080793586281013,0.06677341553864796,4
B_lms_oulad,student_group,gradient_boosting,cumulative_assessment_score_count_to_date,1.225522434943476,0.05620052140524587,0.0033810391968103013,0.7552764871859194,0.7170554602256279,higher values generally align with higher predicted final_grade,4.09426555356788,3.0,positive_permutation_rmse_increase,1.225522434943476,0.0339824011643191,5
B_lms_oulad,student_group,gradient_boosting,current_week_clicks,0.6631048611034541,0.027916826390824982,0.01687048852264179,0.2932239873994818,0.2869850831587342,higher values generally align with higher predicted final_grade,14.553220035778175,0.0,positive_permutation_rmse_increase,0.6631048611034541,0.01838717493985901,6
B_lms_oulad,student_group,gradient_boosting,cumulative_content_clicks_to_date,0.5221319862613428,0.01864924342767927,0.0007402417754902575,0.4563755582705526,0.4296193642589559,higher values generally align with higher predicted final_grade,178.31792884118465,91.0,positive_permutation_rmse_increase,0.5221319862613428,0.014478150796704154,7
B_lms_oulad,student_group,gradient_boosting,cumulative_assessment_clicks_to_date,0.2685711817109509,0.014181049151056195,0.007724068832364319,0.6252499595740227,0.5900179137810607,higher values generally align with higher predicted final_grade,35.09282448817333,24.0,positive_permutation_rmse_increase,0.2685711817109509,0.007447186096187395,8
B_lms_oulad,student_group,gradient_boosting,late_submission_rate_to_date,0.20624536576694272,0.017691832582069623,0.006941883517804323,0.5523084929160956,0.5405477747399277,higher values generally align with higher predicted final_grade,0.29626753880629847,0.3333333333333333,positive_permutation_rmse_increase,0.20624536576694272,0.00571895916217742,9
B_lms_oulad,student_group,gradient_boosting,current_week_activity_types,0.19223923882647836,0.008777230441055044,0.005425178109116498,0.5599353024487354,0.5284877582979792,higher values generally align with higher predicted final_grade,1.2300238521168754,0.0,positive_permutation_rmse_increase,0.19223923882647836,0.005330584530364834,10
B_lms_oulad,student_group,gradient_boosting,cumulative_social_clicks_to_date,0.1736261356023771,0.012375470917298062,0.0015292236477102586,0.2631842773017539,0.2522855866999859,higher values generally align with higher predicted final_grade,238.7298747763864,50.0,positive_permutation_rmse_increase,0.1736261356023771,0.004814463468326941,11
B_lms_oulad,student_group,gradient_boosting,cumulative_clicks_to_date,0.11594202141042267,0.007259758387837805,0.0014412771439702157,0.34732270961956996,0.3303717741915023,higher values generally align with higher predicted final_grade,452.94364937388195,193.0,positive_permutation_rmse_increase,0.11594202141042267,0.0032149458639268236,12
B_lms_oulad,student_group,gradient_boosting,banked_assessment_rate_to_date,0.09310482727435693,0.006421238139028621,0.0009340916911283843,-0.026209463283289092,-0.0420199818560052,weak or mixed direction in held-out predictions,0.018228077191255486,0.0,positive_permutation_rmse_increase,0.09310482727435693,0.0025816953656321792,13
B_lms_oulad,student_group,gradient_boosting,days_since_registration_start,0.023695878050301763,0.005213278765204016,0.001077871473239186,-0.06629094013534205,-0.061572380230865746,weak or mixed direction in held-out predictions,220.09570661896242,219.0,positive_permutation_rmse_increase,0.023695878050301763,0.0006570608671748043,14
B_lms_oulad,student_group,gradient_boosting,cumulative_assessment_score_mean_to_date,0.023543288928543404,0.008326109334137273,0.004703925736598301,0.312905359940779,0.2870104670525081,higher values generally align with higher predicted final_grade,76.84689346685471,78.5,positive_permutation_rmse_increase,0.023543288928543404,0.0006528297371676717,15
B_lms_oulad,student_group,gradient_boosting,course_week_progress,0.016047716729679588,0.0018740971103176076,0.00041519635141816383,0.0005953723551011317,-1.121029955144081e-16,weak or mixed direction in held-out predictions,0.5512820512820513,0.5512820512820513,positive_permutation_rmse_increase,0.016047716729679588,0.00044498569110607846,16
B_lms_oulad,student_group,gradient_boosting,cumulative_other_clicks_to_date,0.015935179016402755,0.001859712002185937,0.0002185518082020461,0.21279387366752453,0.20301177449055569,higher values generally align with higher predicted final_grade,0.8030212681375473,0.0,positive_permutation_rmse_increase,0.015935179016402755,0.0004418651429956191,17
B_lms_oulad,student_group,gradient_boosting,week_number,0.009683479483415407,0.0022086982231828665,0.00027935204478753107,0.0005953723551013469,9.46753527442094e-17,weak or mixed direction in held-out predictions,21.5,21.5,positive_permutation_rmse_increase,0.009683479483415407,0.0002685123299983107,18
B_lms_oulad,student_group,gradient_boosting,has_assessment_score_to_date,0.0,0.0,0.0,0.744173665223373,0.7075757098802928,higher values generally align with higher predicted final_grade,0.7545219638242894,1.0,positive_permutation_rmse_increase,0.0,0.0,19
B_lms_oulad,student_group,gradient_boosting,has_vle_activity_to_date,0.0,0.0,0.0,0.563058959423986,0.533515660921448,higher values generally align with higher predicted final_grade,0.8338302524349036,1.0,positive_permutation_rmse_increase,0.0,0.0,20
